,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
203,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,MTERF2,protein_coding,Both
204,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PPA1,protein_coding,Both
205,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PALM2AKAP2,protein_coding,Both
206,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PDLIM1,protein_coding,Both
207,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ANPEP,protein_coding,Both
208,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PPM1M,protein_coding,Both
209,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CAMK2D,protein_coding,Both
210,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CLNK,protein_coding,Both
211,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,XCR1,protein_coding,Both
212,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,KIF16B,protein_coding,Both
213,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PTK2,protein_coding,Both
214,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,FUCA1,protein_coding,Both
215,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,NCALD,protein_coding,Both
216,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GSTM4,protein_coding,Both
217,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,EHD4,protein_coding,Both
218,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,KCNK6,protein_coding,Both
219,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CCSER1,protein_coding,Both
220,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,VAC14,protein_coding,Both
221,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ID2,protein_coding,Both
222,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CADM1,protein_coding,Both
223,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD40,protein_coding,Both
224,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,NAV1,protein_coding,Both
225,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,IDO1,protein_coding,Both
226,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,APOL3,protein_coding,Both
227,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SCARF1,protein_coding,Both
228,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ZNF366,protein_coding,Both
