,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
254,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD5,CD5,protein_coding,Both
255,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD5,CD5,protein_coding,Both
256,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD52,CD52,protein_coding,Both
257,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD52,CD52,protein_coding,Both
258,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD52,CD52,protein_coding,Both
259,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD55,CD55,protein_coding,Both
260,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD69,CD69,protein_coding,Both
261,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD70,CD70,protein_coding,Both
262,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD72,CD72,protein_coding,Both
263,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD74,CD74,protein_coding,Both
264,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD74,CD74,protein_coding,Both
265,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD74,CD74,protein_coding,Female
266,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD74,CD74,protein_coding,Both
267,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD74,CD74,protein_coding,Both
268,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
269,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
270,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
271,Blood,Venous blood,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
272,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
273,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
274,Breast,Breast,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
275,Embryo,Endometrium,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
276,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
277,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
278,Ovary,Ovary,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
279,Ovary,Ovary,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
280,Ovary,Ovarian cortex,Cancer cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Female
282,Thorax,Malignant pleural effusion,Normal cell,Immune cell,B cell,B cell,CD79A,CD79A,protein_coding,Both
283,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
284,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
285,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
286,Blood,Venous blood,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
287,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
288,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
289,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
290,Ovary,Ovary,Cancer cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Female
291,Ovary,Ovary,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Female
293,Thorax,Malignant pleural effusion,Normal cell,Immune cell,B cell,B cell,CD79B,CD79B,protein_coding,Both
294,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD80,CD80,protein_coding,Both
295,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD81,CD81,protein_coding,Both
296,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD82,CD82,protein_coding,Both
297,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD83,CD83,protein_coding,Both
298,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD83,CD83,protein_coding,Both
299,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD86,CD86,protein_coding,Both
300,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD86,CD86,protein_coding,Both
301,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD99,CD99,protein_coding,Both
302,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CDC20,CDC20,protein_coding,Both
303,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CDCA7L,CDCA7L,protein_coding,Both
304,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CDCA7L,CDCA7L,protein_coding,Both
305,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CDHR5,CDHR5,protein_coding,Both
306,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CDK1,CDK1,protein_coding,Both
307,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CDK14,CDK14,protein_coding,Both
308,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CENPM,CENPM,protein_coding,Both
309,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CEP120,CEP120,protein_coding,Both
310,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CEP295,CEP295,protein_coding,Both
311,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CEPT1,CEPT1,protein_coding,Both
312,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CERS4,CERS4,protein_coding,Both
313,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CFI,CFI,protein_coding,Both
314,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHAC2,CHAC2,protein_coding,Both
315,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CHD7,CHD7,protein_coding,Both
316,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHMP7,CHMP7,protein_coding,Both
317,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHPF,CHPF,protein_coding,Both
318,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHPT1,CHPT1,protein_coding,Both
319,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CHTF8,CHTF8,protein_coding,Both
320,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CIITA,CIITA,protein_coding,Both
321,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CINP,CINP,protein_coding,Both
322,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CKAP4,CKAP4,protein_coding,Both
323,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CLDN10,CLDN10,protein_coding,Both
324,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CLECL1,CLECL1,transcribed_unitary_pseudogene,Both
325,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CLPTM1L,CLPTM1L,protein_coding,Both
326,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNKSR1,CNKSR1,protein_coding,Both
327,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNPY3,CNPY3,protein_coding,Both
328,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNR1,CNR1,protein_coding,Both
329,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CNR2,CNR2,protein_coding,Both
330,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COA5,COA5,protein_coding,Both
331,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COBLL1,COBLL1,protein_coding,Both
332,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COBLL1,COBLL1,protein_coding,Both
333,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COCH,COCH,protein_coding,Both
334,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COL19A1,COL19A1,protein_coding,Both
335,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COL19A1,COL19A1,protein_coding,Both
336,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COL4A4,COL4A4,protein_coding,Both
337,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COL4A4,COL4A4,protein_coding,Both
338,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COL9A3,COL9A3,protein_coding,Both
339,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COQ4,COQ4,protein_coding,Both
340,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CPNE5,CPNE5,protein_coding,Both
341,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CPNE5,CPNE5,protein_coding,Both
342,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CR1,CR1,protein_coding,Both
343,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD21,CR2,protein_coding,Both
344,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CR2,CR2,protein_coding,Both
345,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CR2,CR2,protein_coding,Both
346,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CD21,CR2,protein_coding,Both
347,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CSNK1E,CSNK1E,protein_coding,Both
348,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CSNK1G3,CSNK1G3,protein_coding,Both
349,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CTSH,CTSH,protein_coding,Both
350,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CTXN3,CTXN3,protein_coding,Both
351,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CUL4B,CUL4B,protein_coding,Both
352,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CXCR4,CXCR4,protein_coding,Both
353,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CXCR4,CXCR4,protein_coding,Both
354,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CXCR4,CXCR4,protein_coding,Both
355,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CXCR5,CXCR5,protein_coding,Both
356,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CXCR5,CXCR5,protein_coding,Both
357,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CXXC5,CXXC5,protein_coding,Both
358,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CXXC5,CXXC5,protein_coding,Both
359,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CYB561A3,CYB561A3,protein_coding,Both
360,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYB561A3,CYB561A3,protein_coding,Both
361,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYB5RL,CYB5RL,protein_coding,Both
362,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CYFIP2,CYFIP2,protein_coding,Both
363,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYFIP2,CYFIP2,protein_coding,Both
364,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYSLTR1,CYSLTR1,protein_coding,Both
365,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAAM1,DAAM1,protein_coding,Both
366,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAPP1,DAPP1,protein_coding,Both
367,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,DAPP1,DAPP1,protein_coding,Both
368,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAXX,DAXX,protein_coding,Both
369,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDAH2,DDAH2,protein_coding,Both
370,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDC,DDC,protein_coding,Both
371,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDX11,DDX11,protein_coding,Both
372,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDX3X,DDX3X,protein_coding,Both
373,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DENND5B,DENND5B,protein_coding,Both
374,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DERL3,DERL3,protein_coding,Both
375,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DGKD,DGKD,protein_coding,Both
376,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,DHTKD1,DHTKD1,protein_coding,Both
377,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DHTKD1,DHTKD1,protein_coding,Both
378,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DHX29,DHX29,protein_coding,Both
379,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DLAT,DLAT,protein_coding,Both
380,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,BP1,DLX4,protein_coding,Both
381,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DMTN,DMTN,protein_coding,Both
382,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC10,DNAJC10,protein_coding,Both
383,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC5B,DNAJC5B,protein_coding,Both
384,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC9,DNAJC9,protein_coding,Both
385,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAL1,DNAL1,protein_coding,Both
386,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DPAGT1,DPAGT1,protein_coding,Both
387,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DPY30,DPY30,protein_coding,Both
388,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DRAM2,DRAM2,protein_coding,Both
389,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,DRAM2,DRAM2,protein_coding,Both
390,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DUSP22,DUSP22,protein_coding,Both
391,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,WDR34,DYNC2I2,protein_coding,Both
392,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,E2F5,E2F5,protein_coding,Both
393,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EAF2,EAF2,protein_coding,Both
394,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EBF1,EBF1,protein_coding,Both
395,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EBF1,EBF1,protein_coding,Both
396,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EBLN3,EBLN3P,lncRNA,Both
397,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EBLN3,EBLN3P,lncRNA,Both
398,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ECE1,ECE1,protein_coding,Both
399,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ECSIT,ECSIT,protein_coding,Both
400,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EEF1B2,EEF1B2,protein_coding,Both
401,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EEF1B2,EEF1B2,protein_coding,Both
402,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EEF1G,EEF1G,protein_coding,Both
403,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EEF2,EEF2,protein_coding,Both
404,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EFHC1,EFHC1,protein_coding,Both
405,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EGFL7,EGFL7,protein_coding,Both
406,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EGLN1,EGLN1,protein_coding,Both
407,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EHHADH,EHHADH,protein_coding,Both
408,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EHMT1,EHMT1,protein_coding,Both
409,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF1AY,EIF1AY,protein_coding,Both
410,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF3F,EIF3F,protein_coding,Both
411,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF4B,EIF4B,protein_coding,Both
412,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,TCEB3,ELOA,protein_coding,Both
413,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EMC9,EMC9,protein_coding,Both
414,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ENAM,ENAM,protein_coding,Both
415,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EPN2,EPN2,protein_coding,Both
416,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ERN2,ERN2,protein_coding,Both
417,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ERO1B,ERO1B,protein_coding,Both
418,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ERP29,ERP29,protein_coding,Both
419,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EVI2B,EVI2B,protein_coding,Both
420,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EXOSC10,EXOSC10,protein_coding,Both
421,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EZR,EZR,protein_coding,Both
422,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FA2H,FA2H,protein_coding,Both
423,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM111B,FAM111B,protein_coding,Both
424,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM177B,FAM177B,protein_coding,Both
425,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FAM177B,FAM177B,protein_coding,Both
426,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM27C,FAM27C,lncRNA,Both
427,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,KIAA0125,FAM30A,lncRNA,Both
428,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM3C,FAM3C,protein_coding,Both
429,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD95,FAS,protein_coding,Both
430,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FBL,FBL,protein_coding,Both
431,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FBXO3,FBXO3,protein_coding,Both
432,Blood,Blood,Normal cell,Immune cell,B cell,B cell,FCER2,FCER2,protein_coding,Both
433,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCER2,FCER2,protein_coding,Both
434,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCER2,FCER2,protein_coding,Both
435,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCER2,FCER2,protein_coding,Both
436,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCGR2A,FCGR2A,protein_coding,Both
437,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCGR2B,FCGR2B,protein_coding,Both
438,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCHSD2,FCHSD2,protein_coding,Both
439,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCMR,FCMR,protein_coding,Both
440,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCMR,FCMR,protein_coding,Both
441,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,FCRL1,FCRL1,protein_coding,Both
442,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCRL1,FCRL1,protein_coding,Both
443,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCRL1,FCRL1,protein_coding,Both
444,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCRL1,FCRL1,protein_coding,Both
445,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCRL2,FCRL2,protein_coding,Both
446,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCRL2,FCRL2,protein_coding,Both
447,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCRL5,FCRL5,protein_coding,Both
448,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCRL5,FCRL5,protein_coding,Both
449,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCRLA,FCRLA,protein_coding,Both
450,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCRLA,FCRLA,protein_coding,Both
451,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCRLA,FCRLA,protein_coding,Both
452,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FFAR1,FFAR1,protein_coding,Both
453,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FGB,FGB,protein_coding,Both
454,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FGD2,FGD2,protein_coding,Both
455,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FUT8,FUT8,protein_coding,Both
456,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GABPB1-AS1,GABPB1-AS1,lncRNA,Both
457,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GALNTL6,GALNTL6,protein_coding,Both
458,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GAPT,GAPT,protein_coding,Both
459,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEMIN7,GEMIN7,protein_coding,Both
460,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEMIN8,GEMIN8,protein_coding,Both
461,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GEN1,GEN1,protein_coding,Both
462,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GGA2,GGA2,protein_coding,Both
463,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GH1,GH1,protein_coding,Both
464,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GLDC,GLDC,protein_coding,Both
465,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GLO1,GLO1,protein_coding,Both
466,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GLRA3,GLRA3,protein_coding,Both
467,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GMDS,GMDS,protein_coding,Both
468,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GMPPB,GMPPB,protein_coding,Both
469,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNB5,GNB5,protein_coding,Both
470,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GNB5,GNB5,protein_coding,Both
471,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNG3,GNG3,protein_coding,Both
472,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GNG7,GNG7,protein_coding,Both
473,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GNG7,GNG7,protein_coding,Both
474,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GOLPH3L,GOLPH3L,protein_coding,Both
475,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPC3,GPC3,protein_coding,Both
476,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPD1,GPD1,protein_coding,Both
477,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPM6A,GPM6A,protein_coding,Both
478,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPR160,GPR160,protein_coding,Both
479,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPR18,GPR18,protein_coding,Both
480,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,GPR183,GPR183,protein_coding,Both
481,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPR183,GPR183,protein_coding,Both
482,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GPRC5D,GPRC5D,protein_coding,Both
483,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GRAP,GRAP,protein_coding,Both
484,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GRB2,GRB2,protein_coding,Both
485,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GTF2H5,GTF2H5,protein_coding,Both
486,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,GUCD1,GUCD1,protein_coding,Both
487,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HIST1H3J,H3C12,protein_coding,Both
488,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HIST1H4C,H4C3,protein_coding,Both
489,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HADHB,HADHB,protein_coding,Both
490,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HCCS,HCCS,protein_coding,Both
491,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,HDAC9,HDAC9,protein_coding,Both
